,start,stop
0,0.0011337868480725624,0.445124716553288
1,0.6836734693877551,0.7494331065759637
2,1.3040816326530613,1.4133786848072563
3,2.098639455782313,2.2310657596371883
4,2.6560090702947847,2.6564625850340136
5,3.0927437641723357,3.55124716553288
6,4.845124716553288,4.998412698412698
7,5.285487528344671,5.421088435374149
8,5.828798185941043,5.959410430839002
9,6.921768707482993,7.03922902494331
10,7.293197278911564,7.411111111111111
11,7.7621315192743765,7.7988662131519275
12,8.226984126984126,8.37936507936508
13,8.678684807256236,8.794784580498867
14,9.056462585034014,9.179818594104308
15,9.626530612244897,9.753061224489796
16,10.846031746031747,10.953061224489796
17,11.229705215419502,11.270521541950114
18,12.189342403628117,12.3140589569161
19,12.675510204081633,12.808843537414965
20,13.11360544217687,13.237868480725623
21,13.615646258503402,13.760317460317461
22,14.16031746031746,14.306349206349207
23,15.129931972789116,15.254648526077098
24,15.64875283446712,15.749886621315193
25,16.302267573696145,16.436507936507937
26,17.008843537414965,17.163945578231292
27,17.972562358276644,18.083673469387755
28,18.476417233560092,18.515873015873016
29,19.10453514739229,19.2156462585034
30,19.58390022675737,19.715873015873015
31,20.191609977324262,20.307709750566893
32,20.78390022675737,20.826984126984126
33,21.720408163265308,21.87142857142857
34,23.063718820861677,23.181179138321994
35,24.09546485260771,24.22607709750567
36,24.683673469387756,24.808390022675738
37,25.26689342403628,25.39160997732426
38,25.63424036281179,25.74716553287982
39,26.09546485260771,26.241043083900227
40,27.394331065759637,27.52857142857143
41,27.865986394557822,28.003401360544217
42,29.418367346938776,29.56031746031746
43,29.926303854875282,30.0546485260771
44,30.52267573696145,30.647845804988663
45,31.11360544217687,31.247392290249433
46,31.799319727891156,31.944444444444443
47,32.562131519274374,32.67913832199547
48,33.13718820861678,33.26916099773243
49,34.43514739229025,34.54671201814059
50,35.33265306122449,35.46643990929705
51,36.15668934240363,36.28140589569161
52,36.70816326530612,36.8546485260771
53,37.24920634920635,37.40884353741497
54,37.91995464852608,38.05374149659864
55,38.570748299319725,38.696825396825396
56,39.50952380952381,39.621541950113375
