,start,stop
0,0.8677083333333333,0.9477083333333333
1,1.023125,1.1031250000000001
2,1.3714583333333332,1.4514583333333333
3,1.4914583333333333,1.5714583333333334
4,1.630625,1.710625
5,1.8385416666666667,1.9185416666666668
6,1.9918749999999998,2.071875
7,2.258125,2.3381250000000002
8,2.3922916666666665,2.4722916666666666
9,2.520208333333333,2.6002083333333332
10,2.6977083333333334,2.7777083333333334
11,2.921875,3.001875
12,3.1085416666666665,3.1885416666666666
13,3.261041666666667,3.341041666666667
14,3.5056249999999998,3.585625
15,3.776875,3.856875
16,4.212291666666667,4.292291666666667
17,4.338125000000001,4.418125000000001
18,4.4627083333333335,4.542708333333334
19,4.588958333333334,4.668958333333334
20,4.740208333333333,4.820208333333333
21,5.005625,5.085625
22,5.278958333333334,5.358958333333334
23,5.513541666666667,5.593541666666667
24,5.789791666666667,5.869791666666667
25,6.061875000000001,6.141875000000001
26,6.185625000000001,6.265625000000001
27,6.317708333333334,6.397708333333334
28,6.512291666666667,6.592291666666667
29,6.751458333333334,6.831458333333334
30,7.001875,7.081875
31,7.560208333333334,7.640208333333334
32,7.732291666666667,7.812291666666667
33,7.897708333333334,7.977708333333334
34,8.128541666666667,8.208541666666667
35,8.251041666666667,8.331041666666668
36,8.389375000000001,8.469375000000001
37,8.614791666666667,8.694791666666667
38,8.758541666666668,8.838541666666668
39,8.947291666666667,9.027291666666667
40,9.153958333333334,9.233958333333334
41,9.309791666666667,9.389791666666667
42,9.425208333333334,9.505208333333334
43,9.534375,9.614375
44,9.673958333333333,9.753958333333333
45,9.865208333333333,9.945208333333333
46,10.100625,10.180625000000001
47,10.303958333333334,10.383958333333334
48,10.791458333333333,10.871458333333333
49,10.982291666666667,11.062291666666667
50,11.173958333333333,11.253958333333333
51,11.386458333333334,11.466458333333334
52,11.563125000000001,11.643125000000001
53,11.820208333333333,11.900208333333333
54,11.974375,12.054375
55,12.183125,12.263125
56,12.326041666666667,12.406041666666667
57,12.478125,12.558125
58,12.649375000000001,12.729375000000001
59,12.961875000000001,13.041875000000001
60,13.178958333333334,13.258958333333334
61,13.519375,13.599375
62,13.788125,13.868125000000001
63,13.937291666666667,14.017291666666667
64,14.157708333333334,14.237708333333334
65,14.363125,14.443125
66,14.586041666666667,14.666041666666667
67,14.930208333333335,15.010208333333335
68,15.082708333333334,15.162708333333335
69,15.222291666666667,15.302291666666667
70,15.470625,15.550625
71,15.612291666666668,15.692291666666668
72,15.820625,15.900625
73,15.932291666666668,16.012291666666666
74,16.251875000000002,16.331875
75,16.418958333333332,16.49895833333333
76,16.999375,17.079375
77,17.159791666666667,17.239791666666665
78,17.348958333333332,17.42895833333333
79,17.594791666666666,17.674791666666664
80,17.816458333333333,17.89645833333333
81,18.025208333333335,18.105208333333334
82,18.246875,18.326874999999998
83,18.501875000000002,18.581875
84,18.730208333333334,18.810208333333332
85,18.998958333333334,19.078958333333333
86,19.148958333333333,19.22895833333333
87,19.328125,19.408125
88,19.473125,19.553124999999998
89,19.57979166666667,19.659791666666667
90,19.788125,19.868125
91,19.95479166666667,20.034791666666667
92,20.158958333333334,20.238958333333333
93,20.904375,20.984375
94,21.053125,21.133125
95,21.361875,21.441875
96,21.495208333333334,21.575208333333332
97,21.654375,21.734375
98,21.808958333333333,21.88895833333333
99,21.992291666666667,22.072291666666665
100,22.167708333333334,22.247708333333332
101,22.396875,22.476875
102,22.547291666666666,22.627291666666665
103,22.681041666666665,22.761041666666664
104,22.807708333333334,22.887708333333332
105,23.049375,23.129375
106,23.17354166666667,23.253541666666667
107,23.336041666666667,23.416041666666665
108,23.503125,23.583125
109,23.608125,23.688125
110,23.842291666666668,23.922291666666666
111,23.980208333333334,24.060208333333332
112,24.111458333333335,24.191458333333333
113,24.409375,24.489375
114,24.526041666666668,24.606041666666666
115,24.765625,24.845625
116,25.059791666666666,25.139791666666664
117,25.174791666666668,25.254791666666666
118,25.471875,25.551875
119,25.628958333333333,25.70895833333333
120,25.850208333333335,25.930208333333333
121,26.092291666666668,26.172291666666666
122,26.592291666666668,26.672291666666666
123,26.722708333333333,26.80270833333333
124,27.008125,27.088124999999998
125,27.453958333333333,27.53395833333333
126,27.569791666666667,27.649791666666665
127,27.741458333333334,27.821458333333332
128,28.014375,28.094375
129,28.647708333333334,28.727708333333332
130,28.782708333333332,28.86270833333333
131,28.911041666666666,28.991041666666664
132,29.064375000000002,29.144375
133,29.171041666666667,29.251041666666666
134,29.801875,29.881874999999997
135,29.938125,30.018124999999998
136,30.301458333333333,30.38145833333333
137,30.601041666666667,30.681041666666665
138,30.893958333333334,30.973958333333332
139,31.047291666666666,31.127291666666665
140,31.183125,31.263125
141,31.286875000000002,31.366875
142,31.522291666666668,31.602291666666666
143,31.635625,31.715625
144,31.76354166666667,31.843541666666667
145,31.987291666666668,32.06729166666667
146,32.127291666666665,32.20729166666666
147,32.248124999999995,32.32812499999999
148,32.46604166666666,32.54604166666666
149,33.09520833333333,33.17520833333333
150,33.21645833333333,33.29645833333333
151,33.431041666666665,33.511041666666664
152,33.63895833333333,33.718958333333326
153,33.83270833333333,33.91270833333333
154,33.988125,34.068124999999995
155,34.13229166666666,34.21229166666666
156,34.377291666666665,34.45729166666666
157,34.49395833333333,34.57395833333333
158,34.636874999999996,34.716874999999995
159,34.901875,34.981874999999995
160,35.026041666666664,35.10604166666666
161,35.885625,35.965624999999996
162,36.24270833333333,36.32270833333333
163,36.45520833333333,36.53520833333333
164,36.564791666666665,36.64479166666666
165,36.75145833333333,36.83145833333333
166,37.40229166666666,37.48229166666666
167,37.533125,37.613125
168,37.66395833333333,37.74395833333333
169,37.79395833333333,37.87395833333333
170,38.101875,38.181875
171,38.26145833333333,38.34145833333333
172,38.378125,38.458124999999995
173,38.54479166666666,38.62479166666666
174,38.873124999999995,38.95312499999999
175,39.06604166666666,39.14604166666666
176,39.235625,39.315625
177,39.71020833333333,39.790208333333325
178,39.858958333333334,39.93895833333333
179,39.985625,40.065625
180,40.13770833333333,40.21770833333333
181,40.276041666666664,40.35604166666666
182,40.65895833333333,40.73895833333333
183,40.82520833333333,40.90520833333333
184,41.18270833333333,41.26270833333333
185,41.336875,41.416875
186,41.813541666666666,41.893541666666664
187,41.96479166666666,42.04479166666666
188,42.096875,42.176874999999995
189,42.26645833333333,42.34645833333333
190,42.471875,42.551874999999995
191,42.69145833333333,42.77145833333333
192,42.808125,42.888124999999995
193,42.95020833333333,43.03020833333333
194,43.17854166666666,43.25854166666666
195,43.31520833333333,43.39520833333333
196,43.47520833333333,43.555208333333326
197,44.00354166666666,44.08354166666666
198,44.111041666666665,44.19104166666666
199,44.383541666666666,44.463541666666664
200,44.58979166666666,44.66979166666666
201,44.84020833333333,44.92020833333333
202,45.054375,45.134375
203,45.27854166666666,45.35854166666666
204,45.51145833333333,45.59145833333333
205,45.791875,45.871874999999996
206,45.969791666666666,46.049791666666664
207,46.20729166666666,46.28729166666666
208,46.39895833333333,46.47895833333333
209,46.51479166666666,46.59479166666666
210,46.649375,46.729375
211,46.988125,47.068124999999995
212,47.13229166666666,47.21229166666666
213,47.469791666666666,47.549791666666664
214,47.716874999999995,47.79687499999999
215,47.939791666666665,48.01979166666666
216,48.682291666666664,48.76229166666666
217,48.898125,48.978125
218,49.16770833333333,49.24770833333333
219,49.40562499999999,49.48562499999999
220,49.55145833333333,49.63145833333333
221,49.748124999999995,49.82812499999999
222,49.951874999999994,50.03187499999999
223,50.27645833333333,50.35645833333333
224,50.52520833333333,50.60520833333333
225,50.79270833333333,50.87270833333333
226,51.026041666666664,51.10604166666666
227,51.30645833333333,51.38645833333333
228,51.78895833333333,51.86895833333333
229,51.994375,52.074374999999996
230,52.209374999999994,52.28937499999999
231,52.421458333333334,52.50145833333333
